,Precip,Precip,Precip,Air max,Air max,Air max,Air min,Air min,Air min,ETo,ETo,ETo
,sum,mean,std,sum,mean,std,sum,mean,std,sum,mean,std
year,,,,,,,,,,,,
1989,12.579999999999991,0.03446575342465751,0.07289200241629883,28234,77.35342465753425,9.944821422710923,17729,48.57260273972603,6.843486922766814,41.98000000000004,0.1452595155709344,0.06574903717958348
1990,10.239999999999997,0.028054794520547936,0.18414279355403368,28001,76.71506849315068,11.988131392954715,18101,49.59178082191781,9.649371576427185,42.36000000000002,0.13237500000000008,0.0743623889495362
1991,15.689999999999994,0.042986301369863,0.21532013561402705,27626,75.68767123287671,10.411373023922618,18079,49.53150684931507,7.759589542367843,48.12000000000004,0.13292817679558022,0.061995803016660224
1992,22.279999999999994,0.06087431693989069,0.25244839547849995,28224,77.11475409836065,11.09179387246399,18844,51.486338797814206,8.519024912687117,44.54999999999999,0.12239010989010986,0.0628527643350783
1993,27.040000000000006,0.07408219178082194,0.352762323614946,27788,76.13150684931507,10.747052710112502,18394,50.394520547945206,7.75645584373159,48.80999999999999,0.1355833333333333,0.06924337402810929
1994,9.77,0.02676712328767123,0.13720908491089942,27898,76.43287671232876,11.459628788774818,18027,49.38904109589041,8.47341611579317,50.19000000000001,0.1378846153846154,0.0675479862865414
1995,23.039999999999992,0.06312328767123286,0.3061478107240676,27963,76.6109589041096,12.028212733008354,18543,50.8027397260274,6.658836412121118,46.35999999999994,0.12701369863013684,0.07132661547815315
1996,16.729999999999997,0.04571038251366119,0.22008320531510597,28429,77.67486338797814,11.340835264733986,18361,50.166666666666664,7.655749622545464,50.06999999999998,0.13947075208913642,0.0734466599081771
1997,10.69,0.029287671232876712,0.13154006194705276,28555,78.23287671232876,11.497874323305965,18614,50.9972602739726,8.622899052967961,49.48000000000004,0.13859943977591047,0.07094268377858066
1998,28.54999999999998,0.07821917808219173,0.32275319077998804,27318,74.84383561643835,11.947009675759203,17906,49.057534246575344,8.549434751063814,42.569999999999986,0.11891061452513962,0.07173471083483131
1999,6.1000000000000005,0.01671232876712329,0.07556481088633267,27930,76.52054794520548,11.564332229692791,17424,47.73698630136986,8.017965864666342,42.16999999999997,0.14246621621621613,0.07107646067135497
2000,8.409999999999998,0.022978142076502728,0.12435536600874444,27994,76.48633879781421,11.1211795587542,18494,50.53005464480874,8.209111109157021,15.819999999999999,0.11299999999999999,0.06734107323086655
2001,15.969999999999986,0.04375342465753421,0.23316243105043602,27086,74.20821917808219,11.723951175291553,18211,49.893150684931506,8.31832890760781,44.43999999999999,0.1224242424242424,0.07112875778587782
2002,7.41,0.0203013698630137,0.14533276376437984,27390,75.04109589041096,10.309014454132123,17849,48.9013698630137,8.004540146284786,48.86000000000001,0.13423076923076924,0.06759718267607562
2003,14.919999999999993,0.040876712328767106,0.25217253519296073,27665,75.79452054794521,11.145835106567427,18620,51.013698630136986,8.675298314351652,46.91999999999999,0.1285479452054794,0.06965634661330919
2004,19.709999999999997,0.053852459016393434,0.2502627005126998,27543,75.25409836065573,10.74809557549093,18513,50.58196721311475,7.930700012912636,51.210000000000015,0.13991803278688528,0.07479098804739627
2005,23.39000000000001,0.06408219178082195,0.2933765982330344,27355,74.94520547945206,10.20785413372245,18748,51.364383561643834,7.045483508919335,48.96000000000002,0.13413698630136991,0.07353053396350787
2006,12.259999999999993,0.03358904109589039,0.1594289117492511,27749,76.02465753424657,11.73713676101121,18547,50.81369863013698,9.29127729701496,48.53000000000003,0.1355586592178772,0.06782409006920373
2007,7.419999999999995,0.020328767123287655,0.10253866260840248,27730,75.97260273972603,11.217838769953586,18421,50.46849315068493,8.633070785340852,47.71,0.1539032258064516,0.07324156725539474
2008,15.33999999999999,0.0419125683060109,0.19309491740922685,28026,76.57377049180327,12.030043236206172,18558,50.704918032786885,8.574593108688267,47.019999999999975,0.134727793696275,0.07038276182469874
2009,10.54,0.02887671232876712,0.1525807249148304,27845,76.28767123287672,11.539801467685363,18429,50.49041095890411,8.678509588449081,48.48000000000005,0.1331868131868133,0.06866903289745949
2010,28.759999999999994,0.0787945205479452,0.3174844012307347,27188,74.4876712328767,10.85027909203868,18166,49.76986301369863,7.808960141892563,47.309999999999995,0.12961643835616438,0.07062799738596845
2011,10.149999999999995,0.02780821917808218,0.14674159256054356,27297,74.78630136986301,10.8614313491769,17969,49.23013698630137,8.834663947717269,47.13999999999999,0.12915068493150683,0.06427184522647
2012,9.809999999999999,0.026803278688524588,0.11174775700075687,28180,76.99453551912568,11.459516482070459,18475,50.478142076502735,9.118598356694841,49.400000000000006,0.13497267759562842,0.06792319850593455
2013,4.089999999999999,0.011205479452054792,0.059882430348129775,28536,78.18082191780822,11.914768948780122,18721,51.29041095890411,9.876325399766726,50.95999999999994,0.13961643835616422,0.06723229987603088
2014,6.13,0.016794520547945207,0.11483803201146711,29199,79.9972602739726,10.099912585340622,19315,52.917808219178085,7.840360191352948,51.90000000000001,0.14456824512534822,0.0683097627103822
2015,3.88,0.023233532934131735,0.08613711023905289,12627,75.61077844311377,8.45530438730281,8142,48.75449101796407,5.8335001230101815,20.400000000000006,0.12830188679245286,0.06266454337516131
