,Precip,Precip,Precip,Air max,Air max,Air max,Air min,Air min,Air min,ETo,ETo,ETo
,sum,mean,std,sum,mean,std,sum,mean,std,sum,mean,std
month,,,,,,,,,,,,
1,86.11000000000001,0.10287933094384709,0.34925066883248007,56467,67.46356033452808,8.536590157632126,35169,42.017921146953405,5.337948818326773,46.89000000000011,0.06388283378746609,0.027960065160876294
2,108.62,0.1425459317585302,0.4149845411245938,50975,66.89632545931758,8.530444027745228,32819,43.06955380577428,5.363441935295874,54.88000000000006,0.08178837555886745,0.04574187717351826
3,54.67999999999997,0.06532855436081239,0.24163427485386188,58506,69.89964157706093,8.466481187549554,37820,45.18518518518518,4.8982831061418075,91.7200000000001,0.11743918053777222,0.046749171953116
4,21.170000000000005,0.02613580246913581,0.11266523402928327,58836,72.63703703703703,8.80956953056337,38144,47.09135802469136,5.022968198740021,115.22000000000006,0.15100917431192667,0.058801714668919765
5,10.759999999999996,0.012855436081242528,0.09378073982646606,63738,76.15053763440861,8.144701528485587,43516,51.99044205495819,4.61533790129278,135.81000000000006,0.16870807453416156,0.062107037254339297
6,2.4399999999999964,0.0030653266331658246,0.04477927141487046,64887,81.51633165829146,7.514914954802531,44532,55.94472361809045,4.127765753067415,145.85999999999967,0.19192105263157852,0.05985044231692158
7,1.0200000000000002,0.0012655086848635238,0.009581891638954693,70455,87.41315136476427,5.390746683727232,48451,60.11290322580645,4.1837790588155315,160.55999999999966,0.21294429708222767,0.039145312092277396
8,0.2900000000000001,0.000359801488833747,0.004228806502146208,71747,89.01612903225806,5.8950226739332505,48308,59.935483870967744,3.993573278350254,162.53999999999937,0.20600760456273684,0.029854213333679786
9,1.5100000000000002,0.0019358974358974362,0.017999315165684118,67679,86.76794871794871,7.9239808201714546,45270,58.03846153846154,4.621327762380704,124.73000000000017,0.1615673575129536,0.04232852027046389
10,18.27,0.022667493796526054,0.15039312826386267,63873,79.24689826302729,8.909891721648478,42336,52.526054590570716,4.879791367803491,85.59000000000007,0.10820480404551211,0.040880356796738404
11,21.490000000000006,0.02755128205128206,0.143498480124695,56683,72.67051282051283,8.303170883463105,35786,45.87948717948718,5.342525857226813,55.99000000000007,0.07566216216216226,0.02849816698852303
12,54.54000000000001,0.06766749379652608,0.2646878271171942,53530,66.41439205955335,7.821740132366472,33049,41.00372208436725,5.67778594256806,41.929999999999964,0.05538969616908846,0.02468344666356987
